platform,benchmark,implementation,file,runtime_ms
gpu,mttkrp,iegenlib,nell-1.tns,-1
gpu,mttkrp,iegenlib,nell-2.tns,-1
gpu,ttm,mlir,darpa.tns,70
gpu,ttm,mlir,darpa.tns,70
gpu,ttm,mlir,darpa.tns,69
gpu,ttm,mlir,darpa.tns,69
gpu,ttm,mlir,darpa.tns,69
gpu,ttm,mlir,fb-m.tns,570
gpu,ttm,mlir,fb-m.tns,552
gpu,ttm,mlir,fb-m.tns,550
gpu,ttm,mlir,fb-m.tns,543
gpu,ttm,mlir,fb-m.tns,562
gpu,ttm,mlir,fb-s.tns,1326
gpu,ttm,mlir,fb-s.tns,1335
gpu,ttm,mlir,fb-s.tns,1328
gpu,ttm,mlir,fb-s.tns,1324
gpu,ttm,mlir,fb-s.tns,1336
gpu,ttm,mlir,nell-1.tns,291
gpu,ttm,mlir,nell-1.tns,291
gpu,ttm,mlir,nell-1.tns,290
gpu,ttm,mlir,nell-1.tns,291
gpu,ttm,mlir,nell-1.tns,291
gpu,ttm,mlir,nell-2.tns,99
gpu,ttm,mlir,nell-2.tns,99
gpu,ttm,mlir,nell-2.tns,96
gpu,ttm,mlir,nell-2.tns,96
gpu,ttm,mlir,nell-2.tns,96
gpu,ttm,iegenlib,darpa.tns,-1
gpu,ttm,iegenlib,fb-m.tns,-1
gpu,ttm,iegenlib,fb-s.tns,-1
gpu,ttm,iegenlib,nell-1.tns,-1
gpu,ttm,iegenlib,nell-2.tns,-1
cpu,mttkrp,pasta,darpa.tns,1035
cpu,mttkrp,pasta,darpa.tns,954
cpu,mttkrp,pasta,darpa.tns,951
cpu,mttkrp,pasta,darpa.tns,951
cpu,mttkrp,pasta,darpa.tns,950
cpu,mttkrp,pasta,darpa.tns,950
gpu,mttkrp,pasta,darpa.tns,33
gpu,mttkrp,pasta,darpa.tns,33
gpu,mttkrp,pasta,darpa.tns,32
gpu,mttkrp,pasta,darpa.tns,32
gpu,mttkrp,pasta,darpa.tns,32
gpu,mttkrp,pasta,darpa.tns,32
cpu,ttm,pasta,darpa.tns,238
cpu,ttm,pasta,darpa.tns,205
cpu,ttm,pasta,darpa.tns,205
cpu,ttm,pasta,darpa.tns,205
cpu,ttm,pasta,darpa.tns,205
cpu,ttm,pasta,darpa.tns,205
gpu,ttm,pasta,darpa.tns,6
gpu,ttm,pasta,darpa.tns,6
gpu,ttm,pasta,darpa.tns,6
gpu,ttm,pasta,darpa.tns,6
gpu,ttm,pasta,darpa.tns,6
gpu,ttm,pasta,darpa.tns,6
cpu,mttkrp,pasta,fb-m.tns,3604
cpu,mttkrp,pasta,fb-m.tns,3374
cpu,mttkrp,pasta,fb-m.tns,3372
cpu,mttkrp,pasta,fb-m.tns,3430
cpu,mttkrp,pasta,fb-m.tns,3372
cpu,mttkrp,pasta,fb-m.tns,3372
gpu,mttkrp,pasta,fb-m.tns,53
gpu,mttkrp,pasta,fb-m.tns,53
gpu,mttkrp,pasta,fb-m.tns,53
gpu,mttkrp,pasta,fb-m.tns,53
gpu,mttkrp,pasta,fb-m.tns,53
gpu,mttkrp,pasta,fb-m.tns,53
cpu,ttm,pasta,fb-m.tns,1895
cpu,ttm,pasta,fb-m.tns,1893
cpu,ttm,pasta,fb-m.tns,1892
cpu,ttm,pasta,fb-m.tns,1911
cpu,ttm,pasta,fb-m.tns,1959
cpu,ttm,pasta,fb-m.tns,1891
gpu,ttm,pasta,fb-m.tns,116
gpu,ttm,pasta,fb-m.tns,119
gpu,ttm,pasta,fb-m.tns,119
gpu,ttm,pasta,fb-m.tns,119
gpu,ttm,pasta,fb-m.tns,119
gpu,ttm,pasta,fb-m.tns,119
cpu,mttkrp,pasta,fb-s.tns,5130
cpu,mttkrp,pasta,fb-s.tns,4749
cpu,mttkrp,pasta,fb-s.tns,4746
cpu,mttkrp,pasta,fb-s.tns,4743
cpu,mttkrp,pasta,fb-s.tns,4743
cpu,mttkrp,pasta,fb-s.tns,4743
gpu,mttkrp,pasta,fb-s.tns,112
gpu,mttkrp,pasta,fb-s.tns,112
gpu,mttkrp,pasta,fb-s.tns,113
gpu,mttkrp,pasta,fb-s.tns,111
gpu,mttkrp,pasta,fb-s.tns,110
gpu,mttkrp,pasta,fb-s.tns,112
cpu,ttm,pasta,fb-s.tns,2715
cpu,ttm,pasta,fb-s.tns,2702
cpu,ttm,pasta,fb-s.tns,2702
cpu,ttm,pasta,fb-s.tns,2705
cpu,ttm,pasta,fb-s.tns,2702
cpu,ttm,pasta,fb-s.tns,2702
gpu,ttm,pasta,fb-s.tns,275
gpu,ttm,pasta,fb-s.tns,274
gpu,ttm,pasta,fb-s.tns,275
gpu,ttm,pasta,fb-s.tns,275
gpu,ttm,pasta,fb-s.tns,277
gpu,ttm,pasta,fb-s.tns,275
cpu,mttkrp,pasta,nell-1.tns,5155
cpu,mttkrp,pasta,nell-1.tns,4819
cpu,mttkrp,pasta,nell-1.tns,4768
cpu,mttkrp,pasta,nell-1.tns,4739
cpu,mttkrp,pasta,nell-1.tns,4740
cpu,mttkrp,pasta,nell-1.tns,4739
gpu,mttkrp,pasta,nell-1.tns,81
gpu,mttkrp,pasta,nell-1.tns,81
gpu,mttkrp,pasta,nell-1.tns,81
gpu,mttkrp,pasta,nell-1.tns,81
gpu,mttkrp,pasta,nell-1.tns,81
gpu,mttkrp,pasta,nell-1.tns,81
cpu,ttm,pasta,nell-1.tns,1602
cpu,ttm,pasta,nell-1.tns,1602
cpu,ttm,pasta,nell-1.tns,1602
cpu,ttm,pasta,nell-1.tns,1601
cpu,ttm,pasta,nell-1.tns,1602
cpu,ttm,pasta,nell-1.tns,1620
gpu,ttm,pasta,nell-1.tns,47
gpu,ttm,pasta,nell-1.tns,47
gpu,ttm,pasta,nell-1.tns,47
gpu,ttm,pasta,nell-1.tns,47
gpu,ttm,pasta,nell-1.tns,47
gpu,ttm,pasta,nell-1.tns,47
cpu,mttkrp,pasta,nell-2.tns,985
cpu,mttkrp,pasta,nell-2.tns,841
cpu,mttkrp,pasta,nell-2.tns,857
cpu,mttkrp,pasta,nell-2.tns,865
cpu,mttkrp,pasta,nell-2.tns,840
cpu,mttkrp,pasta,nell-2.tns,840
gpu,mttkrp,pasta,nell-2.tns,56
gpu,mttkrp,pasta,nell-2.tns,58
gpu,mttkrp,pasta,nell-2.tns,56
gpu,mttkrp,pasta,nell-2.tns,57
gpu,mttkrp,pasta,nell-2.tns,56
gpu,mttkrp,pasta,nell-2.tns,57
cpu,ttm,pasta,nell-2.tns,327
cpu,ttm,pasta,nell-2.tns,326
cpu,ttm,pasta,nell-2.tns,337
cpu,ttm,pasta,nell-2.tns,330
cpu,ttm,pasta,nell-2.tns,326
cpu,ttm,pasta,nell-2.tns,326
gpu,ttm,pasta,nell-2.tns,13
gpu,ttm,pasta,nell-2.tns,13
gpu,ttm,pasta,nell-2.tns,13
gpu,ttm,pasta,nell-2.tns,13
gpu,ttm,pasta,nell-2.tns,13
gpu,ttm,pasta,nell-2.tns,13
